path,label
data/test/00000.jpg,real
data/test/00001.jpg,fake
data/test/00002.jpg,fake
data/test/00003.jpg,fake
data/test/00004.jpg,fake
data/test/00005.jpg,real
data/test/00006.jpg,fake
data/test/00007.jpg,real
data/test/00008.jpg,fake
data/test/00009.jpg,fake
data/test/00010.jpg,fake
data/test/00011.jpg,real
data/test/00012.jpg,fake
data/test/00013.jpg,fake
data/test/00014.jpg,fake
data/test/00015.jpg,fake
data/test/00016.jpg,real
data/test/00017.jpg,fake
data/test/00018.jpg,fake
data/test/00019.jpg,fake
data/test/00020.jpg,fake
data/test/00021.jpg,real
data/test/00022.jpg,fake
data/test/00023.jpg,real
data/test/00024.jpg,fake
data/test/00025.jpg,fake
data/test/00026.jpg,real
data/test/00027.jpg,real
data/test/00028.jpg,real
data/test/00029.jpg,real
data/test/00030.jpg,fake
data/test/00031.jpg,fake
data/test/00032.jpg,fake
data/test/00033.jpg,real
data/test/00034.jpg,fake
data/test/00035.jpg,fake
data/test/00036.jpg,fake
data/test/00037.jpg,fake
data/test/00038.jpg,fake
data/test/00039.jpg,fake
data/test/00040.jpg,fake
data/test/00041.jpg,real
data/test/00042.jpg,fake
data/test/00043.jpg,fake
data/test/00044.jpg,real
data/test/00045.jpg,fake
data/test/00046.jpg,fake
data/test/00047.jpg,real
data/test/00048.jpg,fake
data/test/00049.jpg,fake
data/test/00050.jpg,fake
data/test/00051.jpg,real
data/test/00052.jpg,fake
data/test/00053.jpg,real
data/test/00054.jpg,fake
data/test/00055.jpg,real
data/test/00056.jpg,fake
data/test/00057.jpg,real
data/test/00058.jpg,fake
data/test/00059.jpg,fake
data/test/00060.jpg,real
data/test/00061.jpg,real
data/test/00062.jpg,fake
data/test/00063.jpg,real
data/test/00064.jpg,fake
data/test/00065.jpg,fake
data/test/00066.jpg,fake
data/test/00067.jpg,fake
data/test/00068.jpg,real
data/test/00069.jpg,fake
data/test/00070.jpg,real
data/test/00071.jpg,fake
data/test/00072.jpg,fake
data/test/00073.jpg,fake
data/test/00074.jpg,real
data/test/00075.jpg,fake
data/test/00076.jpg,real
data/test/00077.jpg,fake
data/test/00078.jpg,fake
data/test/00079.jpg,fake
data/test/00080.jpg,fake
data/test/00081.jpg,fake
data/test/00082.jpg,fake
data/test/00083.jpg,real
data/test/00084.jpg,fake
data/test/00085.jpg,fake
data/test/00086.jpg,fake
data/test/00087.jpg,fake
data/test/00088.jpg,fake
data/test/00089.jpg,fake
data/test/00090.jpg,fake
data/test/00091.jpg,real
data/test/00092.jpg,real
data/test/00093.jpg,fake
data/test/00094.jpg,fake
data/test/00095.jpg,real
data/test/00096.jpg,fake
data/test/00097.jpg,fake
data/test/00098.jpg,fake
data/test/00099.jpg,real
data/test/00100.jpg,real
data/test/00101.jpg,real
data/test/00102.jpg,fake
data/test/00103.jpg,real
data/test/00104.jpg,real
data/test/00105.jpg,fake
data/test/00106.jpg,fake
data/test/00107.jpg,fake
data/test/00108.jpg,real
data/test/00109.jpg,real
data/test/00110.jpg,fake
data/test/00111.jpg,fake
data/test/00112.jpg,fake
data/test/00113.jpg,fake
data/test/00114.jpg,fake
data/test/00115.jpg,fake
data/test/00116.jpg,fake
data/test/00117.jpg,fake
data/test/00118.jpg,fake
data/test/00119.jpg,fake
data/test/00120.jpg,real
data/test/00121.jpg,fake
data/test/00122.jpg,fake
data/test/00123.jpg,real
data/test/00124.jpg,real
data/test/00125.jpg,fake
data/test/00126.jpg,real
data/test/00127.jpg,real
data/test/00128.jpg,real
data/test/00129.jpg,fake
data/test/00130.jpg,fake
data/test/00131.jpg,real
data/test/00132.jpg,real
data/test/00133.jpg,fake
data/test/00134.jpg,real
data/test/00135.jpg,real
data/test/00136.jpg,fake
data/test/00137.jpg,fake
data/test/00138.jpg,fake
data/test/00139.jpg,fake
data/test/00140.jpg,fake
data/test/00141.jpg,fake
data/test/00142.jpg,real
data/test/00143.jpg,fake
data/test/00144.jpg,real
data/test/00145.jpg,fake
data/test/00146.jpg,fake
data/test/00147.jpg,fake
data/test/00148.jpg,fake
data/test/00149.jpg,real
data/test/00150.jpg,real
data/test/00151.jpg,fake
data/test/00152.jpg,fake
data/test/00153.jpg,real
data/test/00154.jpg,fake
data/test/00155.jpg,fake
data/test/00156.jpg,fake
data/test/00157.jpg,real
data/test/00158.jpg,real
data/test/00159.jpg,fake
data/test/00160.jpg,real
data/test/00161.jpg,fake
data/test/00162.jpg,fake
data/test/00163.jpg,fake
data/test/00164.jpg,fake
data/test/00165.jpg,real
data/test/00166.jpg,real
data/test/00167.jpg,fake
data/test/00168.jpg,real
data/test/00169.jpg,fake
data/test/00170.jpg,fake
data/test/00171.jpg,fake
data/test/00172.jpg,fake
data/test/00173.jpg,real
data/test/00174.jpg,fake
data/test/00175.jpg,fake
data/test/00176.jpg,fake
data/test/00177.jpg,fake
data/test/00178.jpg,fake
data/test/00179.jpg,fake
data/test/00180.jpg,fake
data/test/00181.jpg,real
data/test/00182.jpg,fake
data/test/00183.jpg,real
data/test/00184.jpg,fake
data/test/00185.jpg,real
data/test/00186.jpg,real
data/test/00187.jpg,fake
data/test/00188.jpg,real
data/test/00189.jpg,real
data/test/00190.jpg,fake
data/test/00191.jpg,fake
data/test/00192.jpg,fake
data/test/00193.jpg,fake
data/test/00194.jpg,fake
data/test/00195.jpg,fake
data/test/00196.jpg,fake
data/test/00197.jpg,fake
data/test/00198.jpg,fake
data/test/00199.jpg,fake
data/test/00200.jpg,fake
data/test/00201.jpg,real
data/test/00202.jpg,fake
data/test/00203.jpg,fake
data/test/00204.jpg,fake
data/test/00205.jpg,fake
data/test/00206.jpg,fake
data/test/00207.jpg,fake
data/test/00208.jpg,fake
data/test/00209.jpg,fake
data/test/00210.jpg,real
data/test/00211.jpg,fake
data/test/00212.jpg,fake
data/test/00213.jpg,real
data/test/00214.jpg,fake
data/test/00215.jpg,fake
data/test/00216.jpg,fake
data/test/00217.jpg,real
data/test/00218.jpg,fake
data/test/00219.jpg,fake
data/test/00220.jpg,fake
data/test/00221.jpg,fake
data/test/00222.jpg,real
data/test/00223.jpg,fake
data/test/00224.jpg,fake
data/test/00225.jpg,fake
data/test/00226.jpg,fake
data/test/00227.jpg,real
data/test/00228.jpg,fake
data/test/00229.jpg,real
